T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,target
-65,-69,-61,-65,-58,-63,-57,-59,-55,-65,-69,-65,-66,-53,-59,-47,-63,-59,B52
-75,-71,-60,-74,-63,-72,-62,-48,-50,-79,-73,-67,-80,-55,-64,-54,-49,-57,B63
-64,-56,-56,-59,-50,-47,-64,-57,-60,-59,-62,-59,-50,-55,-59,-61,-62,-69,A40
-70,-65,-66,-70,-66,-57,-77,-70,-63,-67,-69,-68,-62,-71,-66,-54,-50,-62,B17
-61,-60,-56,-55,-49,-62,-72,-63,-66,-68,-63,-61,-57,-59,-64,-65,-66,-68,B29
-68,-63,-68,-67,-61,-53,-62,-69,-66,-66,-62,-71,-54,-62,-54,-65,-61,-59,A41
-59,-53,-61,-66,-76,-73,-74,-78,-84,-62,-56,-64,-70,-77,-76,-80,-95,-80,B18
-63,-63,-75,-69,-55,-41,-64,-65,-61,-57,-58,-56,-54,-40,-52,-60,-61,-62,A47
-64,-70,-63,-63,-60,-53,-69,-75,-72,-60,-59,-59,-54,-77,-61,-65,-72,-79,A33
-64,-65,-61,-67,-61,-60,-50,-61,-64,-58,-68,-62,-60,-53,-50,-44,-56,-67,A59
-80,-73,-62,-72,-66,-68,-64,-48,-50,-76,-77,-66,-68,-54,-65,-54,-50,-57,B63
-60,-63,-52,-60,-66,-69,-78,-71,-66,-53,-65,-64,-69,-69,-79,-75,-78,-70,B14
-71,-69,-73,-66,-53,-52,-77,-65,-67,-73,-66,-63,-56,-62,-48,-55,-69,-66,A43
-54,-59,-61,-75,-71,-64,-74,-83,-72,-45,-66,-64,-55,-75,-64,-71,-64,-69,A15
-62,-70,-63,-59,-63,-61,-66,-67,-81,-70,-70,-63,-65,-61,-51,-57,-56,-79,A46
-61,-61,-52,-52,-50,-66,-57,-77,-65,-75,-68,-75,-48,-57,-68,-95,-63,-64,B35
-65,-55,-57,-48,-55,-55,-58,-61,-56,-65,-66,-58,-48,-57,-73,-61,-74,-71,B31
-79,-73,-81,-69,-64,-58,-73,-59,-51,-69,-68,-74,-63,-70,-60,-56,-51,-56,A65
-43,-56,-57,-69,-70,-85,-69,-79,-83,-58,-57,-62,-85,-76,-71,-66,-80,-95,B4
-74,-71,-74,-65,-63,-61,-56,-51,-47,-79,-73,-69,-65,-65,-67,-46,-55,-65,B55
-49,-57,-63,-72,-68,-63,-77,-83,-71,-44,-64,-65,-55,-74,-63,-73,-65,-70,A11
-68,-65,-66,-72,-74,-69,-70,-59,-55,-64,-67,-67,-63,-62,-64,-52,-56,-52,A77
-64,-57,-68,-68,-58,-45,-55,-61,-62,-70,-70,-71,-61,-46,-62,-53,-61,-55,B44
-48,-52,-64,-54,-59,-59,-63,-65,-55,-43,-56,-62,-68,-56,-67,-59,-76,-65,B7
-62,-70,-79,-72,-74,-69,-83,-75,-80,-64,-64,-61,-73,-82,-81,-79,-70,-80,A13
-95,-52,-68,-95,-95,-68,-64,-95,-95,-95,-95,-95,-56,-95,-95,-65,-95,-95,B23
-56,-60,-63,-75,-72,-70,-75,-81,-82,-47,-77,-69,-78,-73,-71,-79,-73,-73,A5
-85,-95,-75,-77,-72,-95,-66,-95,-95,-95,-95,-78,-95,-95,-95,-95,-95,-95,A74
-70,-82,-72,-69,-69,-63,-72,-55,-46,-77,-67,-66,-67,-61,-76,-63,-53,-40,B71
-77,-74,-63,-69,-67,-58,-80,-75,-73,-80,-79,-78,-81,-59,-54,-73,-73,-70,B46
-77,-68,-70,-77,-66,-61,-67,-61,-49,-78,-80,-71,-67,-70,-61,-57,-52,-56,A80
-60,-61,-53,-54,-68,-61,-77,-69,-73,-69,-66,-56,-49,-68,-62,-72,-79,-68,A30
-85,-73,-61,-65,-71,-58,-67,-71,-82,-62,-68,-76,-68,-72,-67,-62,-64,-67,A34
-59,-53,-62,-66,-77,-73,-75,-77,-84,-62,-56,-64,-70,-76,-75,-79,-95,-78,B18
-61,-68,-53,-59,-67,-67,-76,-69,-66,-53,-63,-64,-71,-70,-76,-79,-78,-74,B14
-66,-70,-64,-65,-74,-86,-82,-84,-83,-72,-62,-69,-69,-83,-89,-77,-88,-95,B21
-64,-65,-68,-81,-77,-79,-80,-87,-77,-63,-68,-60,-67,-70,-87,-77,-75,-75,A2
-85,-70,-61,-65,-71,-58,-67,-71,-82,-62,-67,-76,-68,-72,-67,-62,-64,-67,A34
-76,-68,-73,-66,-67,-63,-73,-64,-49,-73,-77,-79,-65,-70,-72,-56,-63,-54,A73
-72,-73,-70,-65,-65,-60,-61,-71,-66,-63,-65,-62,-63,-58,-50,-54,-61,-58,A58
-65,-56,-75,-72,-84,-70,-81,-78,-83,-68,-64,-81,-72,-84,-78,-74,-71,-75,B9
-77,-71,-81,-70,-73,-68,-59,-56,-48,-69,-77,-71,-80,-65,-78,-61,-65,-56,B79
-61,-56,-45,-64,-72,-58,-78,-68,-70,-56,-53,-45,-58,-75,-64,-69,-73,-71,A27
-71,-71,-61,-73,-71,-57,-61,-64,-73,-79,-67,-64,-66,-73,-60,-55,-66,-66,A45
-59,-56,-45,-67,-77,-57,-75,-68,-69,-55,-52,-45,-57,-73,-66,-71,-74,-71,A27
-64,-71,-63,-68,-61,-57,-61,-54,-65,-69,-67,-65,-73,-65,-49,-45,-51,-50,A72
-75,-77,-69,-66,-65,-73,-64,-70,-61,-78,-78,-77,-81,-81,-80,-70,-61,-60,B74
-63,-70,-64,-60,-63,-61,-65,-65,-76,-70,-68,-62,-65,-60,-50,-56,-55,-79,A46
-73,-78,-72,-67,-71,-80,-66,-62,-61,-79,-75,-82,-66,-64,-68,-63,-66,-45,A79
-73,-82,-68,-70,-70,-73,-66,-61,-62,-95,-72,-95,-67,-64,-67,-61,-73,-44,A79
-78,-67,-70,-79,-67,-60,-68,-62,-48,-77,-78,-72,-68,-71,-62,-57,-52,-57,A80
-72,-61,-59,-64,-65,-64,-78,-82,-82,-60,-78,-61,-64,-82,-70,-72,-95,-74,A22
-60,-47,-63,-63,-68,-72,-80,-80,-76,-58,-58,-74,-66,-68,-72,-95,-73,-74,B10
-61,-64,-53,-60,-67,-68,-79,-70,-66,-54,-63,-64,-68,-69,-78,-78,-77,-75,B14
-63,-70,-60,-66,-58,-57,-58,-62,-51,-84,-64,-71,-59,-58,-69,-68,-61,-47,B76
-62,-70,-64,-59,-54,-70,-50,-51,-51,-74,-68,-64,-64,-64,-52,-61,-69,-62,B51
-49,-56,-59,-70,-70,-63,-78,-83,-77,-43,-64,-62,-55,-74,-63,-73,-64,-70,A11
-59,-54,-58,-67,-68,-67,-76,-72,-71,-55,-52,-72,-59,-72,-63,-83,-73,-71,A17
-72,-71,-61,-63,-66,-54,-52,-62,-64,-65,-61,-68,-61,-59,-56,-50,-55,-63,A60
-71,-56,-47,-56,-56,-73,-61,-70,-75,-64,-70,-68,-58,-58,-65,-68,-65,-67,B30
-59,-56,-66,-71,-65,-72,-68,-77,-69,-51,-61,-68,-79,-81,-69,-71,-72,-73,B3
-55,-67,-54,-57,-61,-70,-70,-66,-66,-62,-57,-57,-60,-62,-69,-66,-60,-68,A28
-61,-53,-68,-55,-52,-59,-59,-62,-57,-61,-44,-45,-59,-57,-74,-71,-68,-65,B19
-74,-61,-54,-64,-50,-70,-63,-59,-59,-62,-61,-69,-55,-58,-49,-52,-58,-64,A44
-73,-53,-63,-51,-59,-68,-63,-61,-68,-65,-62,-63,-53,-61,-59,-70,-66,-72,B25
-66,-69,-78,-63,-58,-64,-58,-64,-65,-62,-66,-69,-57,-56,-69,-53,-63,-54,A54
-55,-73,-66,-74,-71,-66,-75,-77,-73,-56,-55,-56,-68,-68,-65,-67,-79,-71,A1
-80,-76,-79,-68,-64,-59,-71,-61,-52,-70,-68,-84,-63,-68,-59,-56,-52,-56,B13
-71,-62,-66,-61,-64,-79,-71,-83,-85,-70,-83,-68,-64,-70,-87,-84,-80,-77,B33
-79,-69,-66,-65,-63,-80,-83,-68,-62,-77,-78,-81,-81,-61,-68,-64,-68,-68,B54
-63,-67,-63,-77,-62,-58,-50,-60,-65,-59,-66,-64,-57,-52,-50,-43,-56,-58,A59
-59,-57,-63,-48,-67,-62,-72,-63,-61,-58,-55,-50,-59,-60,-63,-58,-66,-73,B24
-80,-80,-70,-66,-65,-69,-63,-69,-60,-77,-77,-81,-80,-78,-75,-69,-60,-59,B74
-63,-70,-64,-71,-78,-68,-95,-81,-77,-64,-68,-70,-81,-95,-74,-85,-81,-95,B5
-72,-64,-73,-68,-61,-64,-72,-55,-58,-75,-77,-81,-72,-61,-65,-61,-68,-64,B77
-82,-75,-67,-77,-69,-69,-62,-50,-56,-81,-71,-78,-68,-64,-67,-58,-57,-55,B80
-62,-71,-59,-65,-58,-57,-58,-62,-50,-83,-64,-71,-59,-58,-73,-71,-60,-45,B76
-49,-48,-60,-63,-69,-82,-81,-75,-75,-57,-64,-70,-64,-75,-70,-79,-74,-76,B6
-51,-40,-59,-68,-72,-74,-76,-72,-66,-49,-45,-59,-63,-62,-77,-60,-66,-72,A15
-69,-71,-72,-66,-66,-74,-73,-68,-52,-78,-71,-74,-72,-59,-66,-59,-71,-63,B73
-62,-65,-65,-76,-60,-58,-50,-59,-65,-55,-66,-62,-61,-53,-49,-44,-56,-61,A59
-72,-71,-62,-65,-65,-54,-52,-62,-64,-65,-62,-68,-61,-59,-56,-49,-55,-63,A60
-65,-67,-61,-64,-64,-63,-53,-63,-57,-67,-70,-64,-68,-56,-56,-48,-63,-59,B52
-63,-71,-60,-55,-63,-53,-83,-66,-63,-57,-70,-56,-58,-71,-61,-65,-68,-62,A36
-73,-73,-75,-66,-68,-64,-59,-50,-45,-82,-73,-70,-63,-62,-66,-45,-55,-66,B55
-66,-74,-63,-54,-60,-56,-71,-82,-73,-58,-64,-53,-62,-67,-62,-69,-73,-79,A33
-56,-61,-64,-77,-76,-74,-77,-82,-80,-54,-61,-66,-74,-73,-69,-75,-72,-79,A5
-72,-61,-58,-64,-65,-65,-77,-82,-83,-59,-82,-61,-64,-83,-69,-72,-95,-72,A22
-77,-80,-73,-70,-68,-68,-68,-64,-58,-77,-75,-75,-84,-64,-62,-55,-66,-63,A66
-68,-62,-64,-59,-59,-71,-67,-73,-73,-69,-71,-75,-54,-68,-69,-75,-75,-95,B34
-71,-73,-70,-68,-82,-63,-64,-69,-65,-62,-64,-63,-63,-57,-51,-54,-60,-58,A58
-75,-67,-75,-67,-69,-62,-76,-63,-49,-73,-76,-80,-65,-69,-74,-56,-66,-52,A73
-53,-63,-52,-65,-59,-70,-57,-66,-61,-62,-53,-69,-55,-66,-68,-59,-62,-61,B16
-65,-55,-58,-48,-56,-55,-58,-60,-56,-65,-65,-59,-47,-57,-72,-60,-73,-71,B31
-84,-70,-67,-64,-63,-78,-85,-67,-62,-82,-78,-79,-87,-60,-71,-63,-67,-67,B54
-79,-74,-79,-69,-64,-58,-72,-61,-54,-70,-68,-95,-63,-68,-59,-55,-52,-55,B13
-60,-64,-55,-62,-73,-77,-80,-77,-74,-67,-69,-65,-73,-77,-74,-84,-76,-73,B22
-68,-61,-77,-73,-54,-47,-63,-65,-61,-58,-57,-56,-51,-40,-55,-58,-59,-62,A47
-73,-64,-68,-63,-64,-56,-56,-47,-53,-63,-65,-66,-60,-58,-58,-74,-56,-49,B64
-61,-64,-55,-71,-71,-62,-77,-81,-74,-63,-62,-57,-67,-78,-65,-75,-68,-76,A21
-79,-60,-54,-63,-50,-68,-64,-59,-60,-61,-61,-71,-55,-60,-49,-52,-60,-64,A44
-74,-72,-61,-73,-62,-68,-65,-48,-50,-79,-77,-66,-76,-57,-65,-54,-50,-54,B63
-67,-65,-63,-59,-61,-48,-64,-65,-80,-61,-59,-76,-57,-52,-53,-55,-60,-64,A48
-59,-65,-64,-66,-66,-63,-79,-79,-67,-55,-57,-58,-66,-71,-70,-77,-71,-74,A4
-67,-59,-60,-61,-52,-39,-59,-76,-50,-67,-71,-67,-59,-47,-58,-53,-66,-60,B39
-69,-61,-64,-59,-59,-71,-67,-73,-74,-69,-71,-75,-54,-68,-69,-75,-74,-83,B34
-57,-55,-67,-67,-66,-71,-68,-76,-68,-53,-60,-70,-78,-95,-69,-71,-72,-73,B3
-61,-64,-53,-59,-67,-69,-76,-70,-67,-54,-64,-64,-70,-69,-78,-78,-77,-75,B14
-67,-61,-81,-74,-54,-47,-63,-64,-61,-55,-57,-56,-52,-39,-54,-58,-59,-62,A47
-70,-69,-65,-71,-56,-51,-63,-69,-71,-66,-65,-63,-54,-56,-55,-68,-61,-66,A41
-75,-68,-74,-71,-73,-67,-59,-63,-56,-72,-81,-73,-69,-60,-64,-71,-54,-51,B69
-61,-69,-65,-71,-58,-61,-54,-54,-60,-56,-67,-74,-58,-62,-52,-46,-57,-53,A63
-77,-72,-82,-70,-72,-67,-59,-56,-45,-69,-78,-70,-79,-65,-76,-62,-65,-56,B79
-63,-67,-72,-59,-56,-52,-67,-77,-72,-58,-56,-64,-56,-74,-62,-66,-76,-75,A33
-41,-58,-72,-70,-81,-73,-75,-83,-84,-61,-65,-69,-65,-82,-84,-70,-84,-75,A6
-65,-56,-76,-72,-83,-71,-82,-77,-84,-68,-64,-83,-73,-84,-77,-74,-71,-76,B9
-64,-58,-64,-56,-48,-62,-85,-71,-74,-57,-50,-55,-50,-58,-59,-54,-65,-83,A39
-65,-54,-58,-48,-56,-55,-59,-61,-56,-65,-65,-60,-48,-57,-70,-61,-74,-69,B31
-71,-74,-70,-68,-82,-63,-64,-69,-66,-62,-64,-62,-63,-57,-52,-54,-61,-58,A58
-81,-73,-64,-62,-64,-65,-55,-59,-57,-77,-74,-79,-65,-63,-52,-55,-61,-60,B49
-64,-70,-63,-68,-61,-57,-61,-54,-65,-70,-67,-65,-73,-65,-49,-45,-51,-50,A72
-64,-70,-63,-68,-61,-57,-61,-54,-64,-71,-68,-65,-73,-64,-48,-45,-51,-50,A72
-53,-37,-56,-65,-61,-62,-65,-71,-62,-52,-56,-53,-65,-68,-71,-60,-66,-77,A19
-59,-58,-64,-49,-66,-60,-71,-64,-61,-59,-55,-51,-59,-60,-64,-59,-65,-74,B24
-83,-72,-75,-75,-72,-70,-66,-60,-46,-75,-95,-80,-72,-69,-63,-64,-55,-48,A74
-71,-60,-64,-53,-60,-63,-73,-58,-68,-75,-68,-64,-60,-58,-61,-68,-64,-76,B37
-75,-71,-71,-65,-78,-65,-64,-67,-65,-63,-65,-63,-63,-57,-51,-55,-63,-59,A58
-63,-62,-76,-58,-72,-50,-58,-51,-57,-70,-64,-62,-60,-57,-70,-49,-47,-65,A68
-75,-64,-65,-70,-67,-66,-62,-58,-47,-73,-62,-70,-79,-61,-69,-58,-51,-44,B75
-71,-64,-53,-57,-61,-64,-61,-58,-62,-59,-64,-69,-53,-49,-58,-59,-62,-54,B36
-73,-79,-95,-71,-80,-72,-60,-55,-61,-71,-71,-82,-66,-76,-67,-60,-56,-64,A62
-82,-59,-59,-68,-73,-57,-73,-84,-80,-57,-54,-60,-56,-76,-77,-64,-73,-78,A25
-61,-47,-64,-63,-68,-71,-82,-81,-76,-58,-58,-74,-66,-68,-72,-95,-74,-74,B10
-68,-63,-74,-59,-65,-63,-57,-57,-66,-83,-74,-80,-65,-57,-61,-61,-68,-65,B45
-60,-79,-61,-67,-49,-62,-56,-64,-60,-68,-69,-65,-64,-44,-49,-76,-64,-63,B43
-65,-58,-68,-69,-57,-53,-55,-71,-70,-63,-60,-65,-62,-57,-54,-58,-60,-70,A52
-77,-69,-63,-69,-69,-58,-77,-72,-77,-75,-80,-79,-74,-60,-55,-75,-75,-72,B46
-73,-73,-63,-70,-63,-71,-66,-50,-50,-73,-75,-68,-75,-55,-68,-54,-51,-56,B63
-65,-57,-54,-43,-56,-59,-65,-80,-64,-67,-53,-53,-51,-67,-59,-61,-77,-68,A35
-67,-74,-60,-63,-51,-48,-67,-67,-66,-61,-78,-63,-54,-55,-58,-57,-62,-64,A39
-75,-72,-70,-73,-68,-79,-68,-57,-51,-67,-82,-73,-71,-76,-63,-65,-70,-51,A77
-61,-59,-56,-55,-49,-62,-73,-63,-66,-69,-63,-61,-57,-61,-64,-64,-66,-68,B29
-70,-77,-66,-67,-38,-54,-66,-66,-76,-63,-65,-65,-55,-61,-54,-64,-65,-70,A38
-59,-65,-64,-71,-76,-65,-72,-79,-84,-50,-56,-59,-62,-67,-67,-74,-75,-73,A4
-57,-49,-53,-67,-66,-63,-81,-66,-69,-48,-51,-56,-59,-64,-66,-64,-63,-67,A24
-62,-57,-56,-54,-48,-61,-76,-64,-66,-75,-64,-63,-56,-57,-62,-64,-65,-68,B29
-65,-58,-55,-64,-68,-59,-74,-78,-71,-54,-62,-57,-59,-66,-62,-66,-70,-84,A21
-95,-52,-65,-95,-95,-68,-64,-95,-95,-95,-95,-95,-58,-95,-95,-65,-95,-95,B23
-63,-70,-60,-65,-57,-57,-59,-62,-50,-82,-63,-72,-59,-58,-72,-68,-61,-47,B76
-83,-81,-74,-69,-73,-84,-70,-66,-40,-79,-77,-79,-69,-82,-64,-59,-54,-58,A70
-58,-46,-60,-53,-61,-62,-68,-75,-64,-54,-57,-54,-66,-58,-68,-61,-64,-67,B8
-73,-74,-61,-76,-65,-73,-63,-49,-50,-82,-80,-66,-72,-55,-66,-53,-50,-58,B63
-79,-63,-61,-62,-63,-52,-66,-66,-68,-62,-67,-63,-56,-67,-55,-61,-68,-70,A42
-66,-77,-63,-68,-66,-56,-66,-69,-73,-84,-66,-62,-55,-58,-50,-53,-62,-61,A53
-63,-70,-59,-67,-57,-57,-58,-62,-50,-77,-64,-79,-62,-57,-71,-66,-60,-46,B76
-72,-70,-68,-74,-61,-72,-58,-54,-54,-95,-75,-79,-74,-54,-62,-61,-77,-58,B73
-50,-66,-76,-64,-69,-67,-78,-77,-72,-51,-54,-58,-75,-68,-74,-67,-86,-76,A3
-80,-86,-65,-75,-65,-70,-64,-61,-64,-77,-82,-74,-74,-63,-74,-68,-50,-64,B62
-62,-72,-62,-70,-62,-66,-55,-48,-49,-68,-64,-65,-70,-59,-68,-45,-45,-54,B60
-66,-68,-65,-66,-68,-62,-51,-54,-49,-70,-78,-75,-69,-51,-64,-48,-51,-59,B59
-70,-61,-66,-53,-51,-63,-78,-57,-76,-78,-66,-66,-61,-58,-73,-75,-64,-77,B37
-72,-62,-58,-64,-65,-65,-78,-80,-84,-61,-84,-60,-64,-82,-69,-72,-95,-73,A22
-59,-40,-60,-54,-61,-62,-67,-74,-65,-52,-57,-54,-65,-58,-69,-61,-65,-67,B8
-67,-64,-70,-79,-77,-78,-82,-87,-78,-63,-68,-61,-67,-70,-95,-76,-76,-76,A2
-63,-65,-62,-57,-56,-52,-67,-76,-84,-68,-59,-54,-49,-71,-56,-68,-79,-63,A37
-66,-71,-58,-59,-54,-57,-72,-71,-68,-71,-67,-63,-56,-67,-70,-74,-79,-73,B38
-67,-84,-71,-62,-62,-63,-62,-75,-60,-95,-82,-73,-69,-65,-43,-57,-74,-68,B50
-56,-56,-57,-63,-68,-76,-69,-71,-68,-52,-61,-60,-74,-73,-72,-76,-76,-78,B14
-72,-81,-67,-70,-70,-74,-66,-62,-62,-84,-72,-84,-68,-64,-68,-62,-67,-46,A79
-49,-56,-57,-69,-70,-85,-69,-78,-82,-59,-57,-62,-95,-76,-70,-67,-78,-95,B4
-56,-61,-64,-71,-69,-67,-76,-82,-72,-56,-56,-57,-61,-73,-67,-72,-82,-77,A14
-56,-49,-53,-67,-66,-60,-79,-68,-70,-48,-50,-54,-62,-63,-65,-64,-61,-66,A24
-69,-74,-70,-67,-67,-65,-63,-70,-68,-62,-63,-64,-62,-55,-51,-54,-61,-58,A58
-80,-63,-61,-62,-61,-52,-66,-65,-68,-62,-67,-63,-56,-67,-55,-61,-69,-70,A42
-77,-82,-66,-76,-67,-71,-56,-57,-54,-85,-79,-82,-67,-65,-63,-72,-60,-53,B66
-50,-65,-76,-64,-69,-67,-78,-77,-72,-51,-54,-58,-75,-69,-74,-67,-86,-76,A3
-84,-95,-71,-70,-78,-76,-67,-66,-39,-83,-95,-79,-75,-79,-64,-56,-55,-57,A70
-78,-81,-68,-68,-70,-81,-66,-62,-62,-77,-74,-81,-70,-65,-70,-64,-64,-45,A79
-64,-70,-65,-61,-62,-64,-73,-75,-81,-67,-64,-76,-59,-71,-62,-65,-71,-81,A34
-77,-69,-64,-70,-64,-61,-60,-41,-56,-61,-69,-67,-62,-61,-57,-49,-49,-58,A67
-81,-63,-61,-61,-61,-52,-66,-64,-72,-62,-68,-63,-56,-66,-55,-62,-68,-70,A42
-72,-70,-69,-74,-61,-72,-58,-54,-54,-95,-75,-78,-74,-54,-62,-61,-77,-58,B73
-67,-60,-60,-61,-52,-39,-60,-72,-50,-68,-71,-68,-60,-47,-57,-54,-66,-59,B39
-74,-80,-84,-72,-82,-73,-60,-55,-61,-73,-72,-82,-66,-76,-66,-60,-57,-64,A62
-70,-77,-66,-65,-38,-56,-66,-66,-78,-64,-64,-65,-55,-60,-54,-64,-66,-70,A38
-71,-68,-60,-57,-58,-56,-70,-65,-72,-65,-63,-69,-49,-79,-69,-65,-72,-82,A37
-64,-69,-65,-60,-61,-66,-76,-75,-80,-67,-63,-80,-59,-74,-62,-65,-70,-80,A34
-68,-66,-71,-67,-67,-57,-62,-73,-59,-67,-75,-81,-66,-63,-66,-52,-54,-61,A69
-60,-58,-61,-49,-70,-54,-63,-84,-64,-51,-60,-50,-57,-62,-73,-65,-64,-77,A32
-67,-72,-63,-66,-66,-64,-61,-79,-66,-80,-72,-64,-58,-51,-50,-55,-62,-57,A49
-63,-70,-64,-70,-77,-68,-95,-81,-75,-63,-68,-70,-82,-95,-75,-86,-78,-95,B5
-81,-61,-67,-64,-79,-58,-74,-78,-84,-54,-56,-57,-55,-73,-71,-66,-74,-79,A25
-75,-72,-81,-74,-69,-69,-68,-60,-56,-78,-83,-80,-81,-68,-71,-64,-56,-47,A78
-53,-56,-50,-57,-68,-58,-64,-74,-64,-65,-50,-58,-59,-73,-63,-64,-68,-72,A15
-70,-61,-66,-53,-51,-64,-78,-57,-76,-78,-66,-66,-61,-62,-73,-75,-64,-78,B37
-63,-57,-56,-59,-49,-47,-80,-57,-58,-58,-62,-59,-50,-57,-63,-68,-62,-62,A40
-52,-63,-51,-63,-61,-71,-59,-66,-61,-63,-52,-63,-55,-64,-66,-59,-62,-60,B16
-55,-59,-59,-73,-68,-64,-66,-68,-72,-54,-52,-64,-65,-64,-69,-70,-73,-67,A12
-65,-61,-51,-65,-62,-78,-82,-76,-69,-67,-56,-63,-59,-71,-62,-63,-69,-79,A26
-70,-65,-64,-63,-62,-63,-63,-64,-56,-63,-69,-72,-64,-55,-59,-60,-57,-63,A61
-42,-58,-73,-69,-75,-71,-74,-84,-82,-59,-67,-65,-64,-84,-86,-71,-75,-73,A6
-59,-55,-56,-71,-65,-66,-78,-70,-78,-59,-56,-64,-59,-78,-59,-78,-67,-73,A17
-68,-58,-56,-62,-63,-61,-75,-95,-81,-54,-54,-55,-60,-70,-62,-70,-71,-79,A21
-59,-68,-71,-67,-57,-61,-54,-53,-61,-57,-65,-71,-57,-61,-51,-48,-57,-53,A63
-68,-61,-56,-56,-60,-59,-68,-65,-72,-58,-55,-56,-58,-61,-61,-60,-64,-66,B20
-67,-58,-56,-69,-63,-54,-52,-56,-54,-66,-63,-68,-59,-45,-46,-50,-51,-56,B47
-67,-74,-64,-63,-59,-53,-68,-70,-72,-66,-56,-57,-55,-69,-60,-67,-70,-73,A33
-72,-81,-68,-68,-71,-77,-66,-63,-62,-82,-76,-81,-69,-64,-69,-63,-64,-45,A79
-55,-47,-54,-65,-66,-66,-63,-72,-66,-44,-53,-61,-58,-64,-61,-73,-65,-67,A20
-74,-69,-78,-74,-61,-74,-64,-58,-51,-83,-77,-81,-74,-63,-66,-58,-66,-64,B78
-55,-61,-49,-68,-67,-67,-76,-75,-65,-56,-54,-58,-65,-65,-75,-77,-65,-68,A39
-69,-66,-71,-67,-69,-54,-63,-78,-65,-64,-63,-72,-54,-80,-63,-62,-61,-61,A41
-63,-60,-69,-59,-72,-50,-57,-52,-57,-68,-63,-62,-62,-57,-70,-50,-47,-65,A68
-60,-47,-64,-63,-68,-71,-80,-79,-76,-58,-58,-75,-66,-68,-72,-95,-73,-74,B10
-60,-67,-73,-67,-57,-61,-54,-53,-61,-57,-65,-70,-57,-61,-51,-47,-57,-53,A63
-72,-74,-81,-76,-68,-73,-72,-61,-74,-78,-79,-77,-72,-76,-75,-61,-56,-48,A78
-64,-57,-50,-46,-69,-70,-79,-70,-68,-59,-51,-52,-54,-58,-57,-71,-65,-71,A31
-70,-68,-60,-57,-58,-56,-70,-64,-72,-65,-63,-68,-49,-79,-69,-64,-71,-80,A37
-71,-61,-67,-61,-63,-79,-70,-82,-85,-70,-82,-68,-64,-70,-90,-84,-79,-78,B33
-73,-73,-64,-68,-63,-68,-55,-58,-58,-72,-71,-77,-69,-55,-66,-72,-61,-65,B53
-77,-75,-70,-75,-65,-63,-67,-52,-55,-74,-71,-76,-74,-61,-65,-63,-55,-63,B61
-42,-58,-73,-72,-83,-70,-77,-82,-77,-57,-73,-70,-66,-82,-83,-71,-85,-74,A6
-55,-58,-59,-72,-68,-64,-66,-68,-71,-51,-52,-63,-65,-64,-69,-71,-73,-66,A12
-51,-58,-50,-54,-68,-56,-66,-71,-65,-56,-52,-53,-62,-64,-64,-60,-83,-70,B12
-71,-74,-70,-68,-81,-63,-64,-69,-66,-61,-64,-62,-63,-57,-51,-54,-61,-58,A58
-67,-65,-62,-61,-62,-48,-65,-65,-80,-61,-59,-76,-57,-53,-53,-55,-60,-64,A48
-62,-72,-62,-71,-62,-66,-55,-48,-49,-68,-63,-65,-70,-59,-70,-45,-46,-54,B60
-71,-56,-49,-56,-56,-73,-59,-71,-76,-64,-70,-68,-60,-58,-64,-68,-65,-67,B30
-82,-81,-68,-80,-72,-77,-57,-57,-54,-83,-78,-81,-67,-65,-64,-70,-60,-53,B66
-76,-72,-81,-74,-71,-71,-69,-61,-57,-80,-81,-79,-77,-69,-71,-62,-54,-48,A78
-66,-69,-78,-63,-58,-64,-57,-64,-65,-62,-66,-69,-57,-56,-69,-53,-61,-54,A54
-66,-67,-74,-69,-52,-58,-52,-49,-56,-67,-68,-68,-64,-50,-69,-44,-61,-59,B56
-65,-56,-75,-72,-85,-71,-81,-78,-84,-68,-64,-83,-73,-86,-77,-74,-71,-77,B9
-55,-47,-54,-65,-67,-64,-63,-71,-65,-43,-53,-58,-57,-65,-62,-70,-65,-65,A20
-56,-61,-64,-71,-68,-67,-76,-80,-72,-56,-56,-57,-61,-73,-66,-72,-85,-76,A14
-69,-77,-76,-70,-66,-59,-67,-63,-61,-69,-65,-72,-61,-71,-59,-59,-52,-58,A61
-65,-69,-56,-54,-61,-63,-67,-70,-76,-54,-54,-68,-54,-70,-64,-69,-66,-78,A29
-62,-59,-61,-58,-61,-70,-47,-55,-62,-62,-65,-68,-73,-48,-57,-53,-62,-65,B48
-65,-69,-56,-54,-60,-63,-67,-70,-75,-55,-54,-69,-55,-69,-64,-69,-65,-78,A29
-77,-73,-80,-67,-65,-58,-73,-59,-52,-69,-67,-74,-62,-71,-60,-56,-50,-55,A65
-56,-50,-57,-50,-59,-60,-62,-69,-58,-61,-49,-58,-59,-56,-59,-59,-59,-64,B15
-82,-59,-53,-62,-50,-61,-64,-60,-56,-62,-64,-68,-55,-56,-48,-54,-55,-72,A44
-71,-56,-49,-56,-56,-74,-60,-71,-75,-64,-69,-69,-59,-58,-64,-68,-65,-67,B30
-76,-75,-71,-70,-59,-60,-59,-46,-53,-73,-66,-75,-72,-55,-62,-54,-45,-53,B67
